tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1953098235603456192',"だから本当はやっぱり
バス一択かなと思ってたんだけど…
っていうかバスでもギリギリなんだけど…

親から夜行バスNGがでた
なんで！！！
#いきづらい部",ja,Tweet,19,1379,308,9,114936,2025-08-06 23:18:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1953097480217747532',"予算は片道１５０００円
だから新幹線は全然無理
#いきづらい部",ja,Tweet,37,1795,391,15,192767,2025-08-06 23:15:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1947941001009762779',"ごめんなさい
ボクも読んでいたし、みんなのゾロリをけなすつもりはなくて
ダジャレ好きの自虐のつもりだったんだけど、
すごく嫌な言い方してしまいました
反省します
#いきづらい部",ja,Tweet,210,3691,1075,69,827025,2025-07-23 17:45:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1947665938930930156',"でもボクは
そんなキミも
大好きだよ❤
おやすみ
#いきづらい部",ja,Tweet,12,1400,238,19,125842,2025-07-22 23:32:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1947665186514509924',"知ってる？
ダジャレって脳の前頭葉の
機能の衰えの可能性があるんだって

だから小さい頃
図書室のゾロリにハマった人は
残念、全滅～！
#いきづらい部",ja,Tweet,506,6035,1955,75,1014282,2025-07-22 23:29:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1947664431510376707',"とりあえず
少し節約するかな…

お年玉の残りはこの前
新しいイヤホン買うのに
使っちゃったんだよね
#いきづらい部",ja,Tweet,8,935,123,4,80408,2025-07-22 23:26:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1947663673813770285',"ちょっとお人好し過ぎて
たまに呆れる

だからこれは断じて
ダジャレではない
#いきづらい部",ja,Tweet,9,943,126,2,76009,2025-07-22 23:23:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1947662918910415223',"だってそんなこと言ったら
「いいね、じゃあそうしよう～🌻✨」
とかニコニコ言われそうだもん

あの人たち、あり得ないでしょ！！
#いきづらい部",ja,Tweet,6,869,141,3,47692,2025-07-22 23:20:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1947662164074107142',"でも言えない
だってそんなの

言いづらい…
#いきづらい部",ja,Tweet,12,1138,178,4,79496,2025-07-22 23:17:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
'1947661410776850763',"じゃあ仙台駅集合で！
ってボクは言いたい
#いきづらい部",ja,Tweet,17,1435,275,1,88332,2025-07-22 23:14:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#いきづらい部,,,
