tweet_id,text,author_id ,type,created_at,hashtags,urls,media_type,media_urls
'1925873719827660961',"偶然と運命って似てるようで違うとずっと思っていたけれど…
やっぱり違うようで似てるのかもしれないって思う今日🎩✨",7,Tweet,2025/5/23 20:17,,,,
'1924776866696880366',美しいものはいつも私の心を強くしてくれるから…💝✨,7,Tweet,2025/5/20 19:39,,,,
'1924774350454194273',"よく見たらダンスがすごく上手い～🩰✨
簡単そうに踊ってるけど、かなり複雑な振りを楽々こなしてるよね…
キレがすごい！！
バレエとかじゃなさそうだし、ちょっと独特な感じ？
どこで習ったのか気になるかも🥰",7,Tweet,2025/5/20 19:29,,,,
'1924774098699485251',"それにしてもすごいな
まだ高校入学したばっかりなのに、もうこんな活動を始めてるなんて",7,Tweet,2025/5/20 19:28,,,,
'1924773850790662282',"うわ～✨✨
すっごくかわいい！！
あの子の動画！
なんだか見てるこっちまで笑顔になっちゃうね🥰✨",7,Tweet,2025/5/20 19:27,,,,
'1923229168533422158',"せっかく東京劇場に来たから週末はこっちにいるつもり
今日は久しぶりに定番の国立西洋美術館とかいってみようかな？

あ！　なんか近くで大きなお祭りやってるっぽい
屋台とかあるかな🎯✨",7,Tweet,2025/5/16 13:09,,,,
'1923228916832952506',"にしても平日でも学校休んだりしないで公演に行けるのって最高💘
偶然余ったチケットは急に回ってくるものだから！
幸運はいつだって一撃でつかまないとね🏹",7,Tweet,2025/5/16 13:08,,,,
'1923228665250447477',"やっぱり黒燕尾って最高にかっこいい～🎩✨
昨日からずっと思い出してはため息しか出ない今日。。。",7,Tweet,2025/5/16 13:07,,,,
'1920399020041593261',"スターって自ら光り輝く人のことだと思うんです
でもーー
今はほんの小さな星のかけらでも🪄
いっぱいに集めて袋に詰めたら
光り輝く大きな星になれるかもしれないと✨
今はそう思ってもいいでしょうか",7,Tweet,2025/5/8 17:43,,,,
'1920398768303690031',"子供のころ親戚に誘われて行って初めて舞台を見た日から、ずっとずっと憧れてる歌劇団🎩✨
病気のせいでもうスターは目指せないかもしれないけれど、でもやっぱり好きすぎる！！💘",7,Tweet,2025/5/8 17:42,,,,
'1920398516465381542',"GWにはたまっていた歌劇団の配信動画をいっぱい見てーーものすごく充実してました！
まさに血沸き胸が躍って🩰✨
ああああ　もう～～！！！
この興奮をどうしたらいいかな🥰💖",7,Tweet,2025/5/8 17:41,,,,
'1914994156495065206',"そんな少し羽の生えたような新たな気持ちで
足１番からプリエ🩰✨
ピンと伸びていい気持ちです",7,Tweet,2025/4/23 19:46,,,,
'1914993904593891774',"こうして輝く憧れの星にただ照らされているだけの今でも
なんだか幸せな気持ちは消えないから
私はこのままでもーーいいような気がします🌟✨✨",7,Tweet,2025/4/23 19:45,,,,
'1914993653141172544',"あのキラキラしたステージの光景は今も色あせず🩰🪄
ますます輝きを増して私の心を美しい清らかな何かで満たしてくれて
いつか私もあのステージに立ちたいと心から願った気持ちは
今も私の中に色あせずにあるけれどーー",7,Tweet,2025/4/23 19:44,,,,
'1914993401466175780',"久しぶりのレッスンで診察の結果を先生に報告しました🎗️
夢を諦めるのはまだ早いんじゃないかって言われたけれど…
あの憧れの舞台で憧れの男役として輝くのは
体力的にはもう難しいのかなって感じてる",7,Tweet,2025/4/23 19:43,,,,
'1909584762953445445',"昨日東京から戻ってきて明日からはいよいよ新生活！
やっぱりレビューは最高だった✨✨🌟
いつかあんな風になりたいって思って、レッスン優先の生活をするためにネット高校への進学を決めたけど…
これからの私がどこに向かって走るのか
私にもわからないのが少しーー楽しくて自分でも意外🥰",7,Tweet,2025/4/8 21:31,,,,
'1907292155439464920',"最後の診察が終わった

ホッとした気持ちと少しの虚しさと
もうここに通うこともないと思うとどこか少し寂しい気持ちとーー

でも取り返しがつかないことを嘆くことはしないってもう決めてるから
明日は日比谷で久しぶりの観劇🩰👏
全力で楽しみます💖🥰",7,Tweet,2025/4/2 13:41,,,,
